,BrandClean,Recycled,Quantity,BottleType,Weight,Colour,Alcohol,SupplierCity,SupplierCountry,DestinationCity,DestinationCountry,Tonnage,Tonnage%PCR,Tonnage_PCR,SupLat,SupLong,DestLat,DestLong,ProductCode/SKU,Product name,Brand,Distance_km,EmissionFactor,Carbon_Impact_kgCO2,Carbon_Impact_tCO2,Brand_Carbon_Impact_t,Emission_Category
0,Various,0.25,483491.25,5.0,55,FLINT,VODKA,KÖFLACH,AUSTRIA,ÅHUS,SWEDEN,1671.12264,417.78066,417.78066,47.0644882,15.0850032,55.9235165,14.2955222,80741,GLAS ODEK 50 NY,VARIOUS TAC,986.5767138878089,0.15,247303.6,247.3,247.3,High
1,Absolut,0.41,483491.25,70.0,505,FLINT,VODKA,LIMMARED,SWEDEN,ÅHUS,SWEDEN,13360.22748,5477.693267,5477.6932668,57.5373883,13.3565985,55.9235165,14.2955222,504010,GLAS AVO 700,ABSOLUT VODKA,188.36758040632952,0.15,377495.06,377.5,1602.0,Very High
2,Jameson,0.6,483491.25,70.0,470,GREEN,WHISKY,DERRYLIN,NORTHERN IRELAND,DUBLIN,IRELAND,12430.278,7458.1668,7458.1668,54.1950641,-7.5700848,53.3493795,-6.2605593,20013786,BB JAM 700ML - PLP,JAMESON,127.46520289566826,0.15,237664.19,237.66,1315.19,Very High
3,Jameson,0.6,483491.25,100.0,520,GREEN,WHISKY,DERRYLIN,NORTHERN IRELAND,DUBLIN,IRELAND,12403.729,7442.2374,7442.237399999999,54.1950641,-7.5700848,53.3493795,-6.2605593,20015620,BB JAM 1000ML LW,JAMESON,127.46520289566826,0.15,237156.58,237.16,1315.19,Very High
4,Jameson,0.6,483491.25,75.0,515,GREEN,WHISKY,DERRYLIN,NORTHERN IRELAND,DUBLIN,IRELAND,9399.85004,5639.910024,5639.910024,54.1950641,-7.5700848,53.3493795,-6.2605593,20013787,BB JAM 750ML - PLP,JAMESON,127.46520289566826,0.15,179723.07,179.72,1315.19,Very High
5,Various,0.6,483491.25,75.0,360,GREEN,WINE,Adelaide,Australia,Rowland Flat,AUSTRALIA,5301.2736,3180.76416,3180.76416,-34.9281805,138.5999312,-34.57086165,138.92841765443825,BTL10673,750ML FG SC BURG LW 30571,VARIOUS PRW AUSTRALIA,49.79284901513593,0.15,39594.83,39.59,242.76999999999998,High
6,Absolut,0.41,483491.25,100.0,655,FLINT,VODKA,LIMMARED,SWEDEN,ÅHUS,SWEDEN,9115.35335,3737.294874,3737.294873499999,57.5373883,13.3565985,55.9235165,14.2955222,506010,GLAS AVO 1000,ABSOLUT VODKA,188.36758040632952,0.15,257555.56,257.56,1602.0,Very High
7,Various,0.61,483491.25,75.0,376,DEAD LEAF,WINE,Adelaide,Australia,Rowland Flat,AUSTRALIA,4994.021472,3046.353098,3046.35309792,-34.9281805,138.5999312,-34.57086165,138.92841765443825,BTL62654,750ML AG SC CLARET 370GM 30570,VARIOUS PRW AUSTRALIA,49.79284901513593,0.15,37299.98,37.3,242.76999999999998,High
8,Ballantines,0.4,483491.25,70.0,410,AMBER,WHISKY,KNOTTINGLEY,ENGLAND,KILMALID,SCOTLAND,5321.472,2128.5888,2128.5888,53.7092062,-1.238314,56.6456489,-5.4313062,0B390066,BOT 70 NR RO AMB GLS LV,BALLANTINE'S FINEST,421.1465267881005,0.15,336167.92,336.17,554.99,Very High
9,Beefater,0.06,483491.25,70.0,500,FLINT,GIN,IRVINE,SCOTLAND,KILMALID,SCOTLAND,5101.824,306.10944,306.10943999999995,55.6143121,-4.6655591,56.6456489,-5.4313062,0FA90100,BE BOT 70 NR RO WHITE GLS LV,BEEFEATER GIN,124.10765421886914,0.15,94976.31,94.98,343.68,High
10,Jameson,0.68,483491.25,5.0,75,GREEN,WHISKY,BERNSDORF,GERMANY,FORT SMITH,USA,763.0875,518.8995,518.8995,51.3710839,14.0694111,35.3083112,-94.32888672060204,BTL200019,BT 57F3 JAMESON 50 GRN 19,JAMESON USA,8128.1785507069335,0.02,124050.23,124.05,139.93,High
11,Ron Montilla,0.13,483491.25,100.0,480,FLINT,RUM,SAO PAULO,BRAZIL,RESENDE,BRAZIL,4790.29344,622.7381472,622.7381472000001,-23.5506507,-46.6333824,-22.4683626,-44.4463494,62047,GARRAFA MONTILLA FLINT,MONTILLA,254.13301169773476,0.15,182605.75,182.61,189.98000000000002,High
12,Jameson,0.59,483491.25,75.0,515,GREEN,WHISKY,IRVINE,SCOTLAND,DUBLIN,IRELAND,5058.72346,2984.646841,2984.6468414,55.6143121,-4.6655591,53.3493795,-6.2605593,20013787,BB JAM 750ML - PLP,JAMESON,272.09289122746435,0.15,206466.4,206.47,1315.19,Very High
13,Ballantines,0.3,483491.25,70.0,410,AMBER,WHISKY,ALLOA,SCOTLAND,KILMALID,SCOTLAND,3970.2104,1191.06312,1191.06312,56.1156137,-3.7922423,56.6456489,-5.4313062,0B390067,BOT 70 NR RO AMB GLS PLP EX,BALLANTINE'S FINEST CASED,116.85623911560447,0.15,69591.58,69.59,1073.48,Very High
14,Ballantines,0.3,483491.25,100.0,595,AMBER,WHISKY,ALLOA,SCOTLAND,KILMALID,SCOTLAND,5705.98336,1711.795008,1711.795008,56.1156137,-3.7922423,56.6456489,-5.4313062,0B360019,B3 BOT 1L NR RO AMB GLS PLP EX,BALLANTINE'S FINEST CASED,116.85623911560447,0.15,100016.96,100.02,1073.48,Very High
